Genre,Average EI index
Science & Technology,0.08072825815904368
Education,-0.0617477472674709
Entertainment,-0.14094903023298427
Nonprofits & Activism,-0.07606776565251172
People & Blogs,-0.09356397094803659
Howto & Style,-0.04304635175816366
News & Politics,0.10632219541883925
Comedy,-0.03911605816514874
Music,-0.051351032887276236
Sports,-0.13514681887921673
Film & Animation,0.16940645863855672
Gaming,-0.17137367996427938
Travel & Events,0.22709699795927185
Autos & Vehicles,-0.08930029859888852
Pets & Animals,0.29860847107416283
