Genre,Average EI index
Science & Technology,0.07415834424226889
Education,-0.057692138298227044
Entertainment,-0.12128427641792235
Nonprofits & Activism,0.022580757026331232
People & Blogs,-0.08759240163927884
Howto & Style,-0.011479669764681233
News & Politics,0.05768444187415172
Comedy,-0.025655338307617657
Music,-0.031752973795629004
Sports,-0.10859929849077332
Film & Animation,0.18668703648975998
Gaming,-0.12529087886731852
Travel & Events,0.3359474930742251
Autos & Vehicles,-0.16343565632728155
Pets & Animals,0.2868682481080085
