Genre,Education,Entertainment,Nonprofits & Activism,People & Blogs,Howto & Style,News & Politics,Comedy,Music,Sports,Film & Animation,Gaming,Travel & Events,Autos & Vehicles,Pets & Animals,Science & Technology
Science & Technology,0.36363636,0.39843750,0.07228916,0.41886792,0.18518519,0.12500000,0.08875740,0.21428571,0.22613065,-0.16666667,0.33905579,-0.27272727,0.29032258,-0.54000000,0.00000000
Education,0.00000000,0.20616570,-0.13812155,0.27845884,-0.04834606,-0.11956522,-0.10160428,-0.03000000,0.12526539,-0.35973597,0.10822511,-0.47670251,0.11397849,-0.49818182,-0.11051213
Entertainment,0.14025501,0.00000000,-0.12380952,0.29552239,-0.04888889,-0.11583924,-0.03056769,0.02680412,0.07269155,-0.40059347,0.09923664,-0.42168675,0.04838710,-0.56810631,-0.13734940
Nonprofits & Activism,0.20000000,0.27777778,0.00000000,0.29251701,-0.07772021,-0.07772021,-0.03482587,-0.02463054,0.19066148,-0.35064935,0.16800000,-0.41496599,0.15789474,-0.50724638,-0.07772021
People & Blogs,0.19868637,0.28023599,-0.12442396,0.00000000,-0.08928571,-0.09172260,-0.06318083,0.00610998,0.07047619,-0.35180055,0.07924528,-0.45238095,0.12072072,-0.42274052,-0.12962963
Howto & Style,0.17241379,0.23699422,-0.19457014,0.21428571,0.00000000,-0.10000000,-0.14285714,-0.00763359,0.09897611,-0.34010152,0.11111111,-0.38219895,0.14285714,-0.56213018,-0.08196721
News & Politics,0.31174089,0.37500000,0.02298851,0.40972222,0.11917098,0.00000000,0.06593407,0.15000000,0.27659574,-0.32812500,0.12371134,-0.39344262,0.26724138,-0.37096774,0.07608696
Comedy,0.25842697,0.38317757,-0.01020408,0.36942675,0.00000000,-0.01020408,0.00000000,0.14655172,0.18181818,-0.32000000,0.21428571,-0.25316456,0.19183673,-0.50000000,-0.03664921
Music,0.13119534,0.25125628,-0.20161290,0.24747475,-0.06810036,-0.12878788,-0.05673759,0.00000000,0.12865497,-0.31277533,0.10510511,-0.36697248,0.05396825,-0.50505051,-0.11194030
Sports,0.19369369,0.20796460,-0.07831325,0.22173913,-0.05294118,-0.08814590,-0.11180124,0.03763441,0.00000000,-0.33582090,0.10500000,-0.50420168,0.12039312,-0.48547718,-0.18936877
Film & Animation,0.37588652,0.39310345,0.06382979,0.45341615,0.19266055,-0.01149425,0.07368421,0.27868852,0.33834586,0.00000000,0.34814815,-0.37500000,0.31250000,-0.20547945,0.11111111
Gaming,0.11546841,0.17311609,-0.16332378,0.16973415,-0.10326087,-0.30128205,-0.14044944,-0.04909561,0.04245283,-0.38095238,0.00000000,-0.50370370,0.10769231,-0.59842520,-0.13091922
Travel & Events,0.21666667,0.34265734,-0.04444444,0.32374101,0.11320755,-0.11904762,0.11320755,0.18965517,0.11320755,-0.40298507,0.17543860,0.00000000,0.22950820,-0.56666667,-0.03296703
Autos & Vehicles,0.14601770,0.14790287,-0.14880952,0.23412698,-0.04607046,-0.13529412,-0.13864307,-0.07520891,0.08313539,-0.39350181,0.13258427,-0.44029851,0.00000000,-0.49612403,-0.15915916
Pets & Animals,0.32692308,0.30000000,-0.01449275,0.47761194,0.02777778,0.05405405,-0.02941176,0.16666667,0.27835052,-0.09375000,0.18604651,-0.45833333,0.30000000,0.00000000,-0.20689655
