Genre,Education,Entertainment,Nonprofits & Activism,People & Blogs,Howto & Style,News & Politics,Comedy,Music,Sports,Film & Animation,Gaming,Travel & Events,Autos & Vehicles,Pets & Animals,Science & Technology
Science & Technology,0.38582677,0.41132075,-0.04697987,0.42647059,0.17894737,0.16577540,0.04878049,0.11864407,0.27441860,-0.13043478,0.29411765,-0.24800000,0.26760563,-0.51456311,0.00000000
Education,0.00000000,0.25185185,-0.09485095,0.21400778,-0.02798982,-0.06878307,-0.10382514,0.04716981,0.09417040,-0.32459016,0.07972665,-0.43262411,0.12173913,-0.49077491,-0.06878307
Entertainment,0.14576271,0.00000000,-0.13004484,0.21003135,-0.12249443,-0.19148936,-0.10769231,-0.04132231,0.07861060,-0.41176471,0.05440901,-0.50447761,0.06493506,-0.54601227,-0.14806378
Nonprofits & Activism,0.17192982,0.24358974,0.00000000,0.18620690,-0.10280374,-0.19796954,-0.08755760,-0.02608696,0.11278195,-0.36416185,0.01666667,-0.47500000,0.09230769,-0.54248366,-0.24867725
People & Blogs,0.13248639,0.23520000,-0.16301703,0.00000000,0.02249489,-0.13002364,-0.07900677,0.02647658,0.15547703,-0.45731707,0.15845070,-0.32044199,0.15097691,-0.42686567,-0.10392610
Howto & Style,0.25657895,0.27096774,-0.08133971,0.37741047,0.00000000,0.01310044,0.04237288,0.12062257,0.13409962,-0.32941176,0.14393939,-0.46753247,0.21254355,-0.43949045,-0.00444444
News & Politics,0.38039216,0.36800000,0.00000000,0.39923954,0.18974359,0.00000000,0.07058824,0.23300971,0.21782178,-0.10489510,0.26168224,-0.20610687,0.23671498,-0.30578512,0.15957447
Comedy,0.16312057,0.26479751,-0.08755760,0.26708075,0.02074689,-0.12918660,0.00000000,-0.03508772,0.10266160,-0.24210526,0.13235294,-0.44785276,0.07086614,-0.51282051,-0.15686275
Music,0.20325203,0.22427441,-0.13513514,0.26315789,-0.01030928,-0.07299270,-0.14396887,0.00000000,0.07836991,-0.28947368,0.16000000,-0.42028986,0.05466238,-0.48484848,-0.19512195
Sports,0.11415525,0.20654397,-0.13450292,0.25527831,-0.13450292,-0.22397476,-0.14454277,-0.06010929,0.00000000,-0.40579710,0.05596107,-0.53359684,0.06280193,-0.57085020,-0.17220544
Film & Animation,0.49275362,0.50000000,0.22222222,0.43548387,0.23913043,0.29292929,0.34579439,0.39655172,0.40170940,0.00000000,0.42148760,-0.09375000,0.44881890,-0.45833333,0.26315789
Gaming,0.03267974,0.11729622,-0.29069767,0.19419238,-0.19034853,-0.24369748,-0.18085106,-0.04470588,-0.01138952,-0.44155844,0.00000000,-0.48494983,-0.04470588,-0.63837638,-0.21643836
Travel & Events,0.35593220,0.37190083,0.05000000,0.52795031,0.03797468,0.15555556,0.08433735,0.22448980,0.21649485,-0.13432836,0.33913043,0.00000000,0.32142857,-0.52000000,0.10588235
Autos & Vehicles,0.09090909,0.14342629,-0.20448179,0.20222635,-0.10539846,-0.25364431,-0.22507123,-0.13456464,0.01149425,-0.40065147,-0.02870813,-0.48788927,0.00000000,-0.50349650,-0.22857143
Pets & Animals,0.35294118,0.38317757,0.02941176,0.48837209,0.14285714,0.12000000,0.07042254,0.21428571,0.23255814,-0.43478261,0.19512195,-0.46666667,0.36538462,0.00000000,-0.13793103
