Genre,Average EI index
Science & Technology,0.07758078802135689
Education,-0.0966247480102578
Entertainment,-0.10790631688336982
Nonprofits & Activism,-0.07356866223034685
People & Blogs,-0.0878070922224066
Howto & Style,-0.032626220094277306
News & Politics,0.12489458749509304
Comedy,-0.010590773646713791
Music,-0.07930006242465547
Sports,-0.14026045018351055
Film & Animation,0.20635544213739548
Gaming,-0.1638175656366454
Travel & Events,0.21191967074849472
Autos & Vehicles,-0.14861930854884475
Pets & Animals,0.09993120918415863
