Genre,Average EI index
Science & Technology,0.10629340648177978
Education,-0.09120749318256016
Entertainment,-0.12929113288681743
Nonprofits & Activism,-0.035139250784281754
People & Blogs,-0.09565181406393887
Howto & Style,-0.05044539989284391
News & Politics,0.017161591773297125
Comedy,-0.014029142697184851
Music,0.010058369699629088
Sports,-0.1084724087421861
Film & Animation,0.3069756119458171
Gaming,-0.12922923618680868
Travel & Events,0.1876870152498988
Autos & Vehicles,-0.1836001370304028
Pets & Animals,0.09898519708757238
