Genre,Education,Entertainment,Nonprofits & Activism,People & Blogs,Howto & Style,News & Politics,Comedy,Music,Sports,Film & Animation,Gaming,Travel & Events,Autos & Vehicles,Pets & Animals,Science & Technology
Science & Technology,0.53076923,0.43778802,0.23750000,0.55147059,0.32222222,0.20261438,0.23270440,0.34054054,0.33333333,-0.04273504,0.20261438,-0.09909910,0.41904762,-0.11926606,0.00000000
Education,0.00000000,0.22047244,-0.07608696,0.28130672,-0.04761905,-0.08196721,-0.09090909,-0.01278772,0.12195122,-0.35153584,0.11804009,-0.39436620,0.13913043,-0.53488372,0.00251889
Entertainment,0.09154930,0.00000000,-0.17006803,0.23781388,-0.11688312,-0.14666667,-0.10256410,-0.02584493,0.02824859,-0.39837398,0.07194245,-0.53115727,0.03370787,-0.59752322,-0.24637681
Nonprofits & Activism,0.29770992,0.33090909,0.00000000,0.28682171,0.05154639,0.00000000,-0.03954802,0.13615023,0.20346320,-0.21854305,0.23651452,-0.28671329,0.20000000,-0.47200000,0.03664921
People & Blogs,0.16309720,0.24517088,-0.20952381,0.00000000,-0.10195228,-0.15192744,-0.17592593,0.02119461,0.13310580,-0.36193029,0.07636364,-0.44729345,0.07636364,-0.49411765,-0.09247312
Howto & Style,0.20401338,0.26315789,-0.07692308,0.26993865,0.00000000,-0.06250000,0.03252033,0.00418410,0.18213058,-0.39181287,0.09160305,-0.27272727,0.21710526,-0.42514970,0.00000000
News & Politics,0.34939759,0.40659341,0.06358382,0.39552239,0.12903226,0.00000000,0.04142012,0.17346939,0.21359223,-0.23664122,0.32217573,-0.35000000,0.29565217,-0.42105263,0.06358382
Comedy,0.15384615,0.26888218,-0.17475728,0.19063545,0.02419355,-0.15789474,0.00000000,-0.00414938,0.12635379,-0.32240437,0.05468750,-0.42352941,0.08333333,-0.43195266,-0.10502283
Music,0.08732394,0.20393120,-0.14487633,0.24121780,-0.14893617,-0.16967509,-0.14893617,0.00000000,0.07163324,-0.45945946,0.03857567,-0.48623853,0.01519757,-0.52112676,-0.13286713
Sports,0.13707865,0.17419355,-0.16012085,0.26717557,-0.05494505,-0.21135647,-0.10344828,-0.01319261,0.00000000,-0.43283582,0.06341463,-0.48262548,0.02538071,-0.57377049,-0.22292994
Film & Animation,0.43939394,0.50000000,0.22916667,0.52564103,0.16853933,0.14942529,0.25252525,0.23711340,0.34513274,0.00000000,0.43511450,-0.13846154,0.43076923,-0.13846154,0.20430108
Gaming,0.04149378,0.12665406,-0.21578947,0.12333966,-0.23529412,-0.18766067,-0.26229508,-0.13793103,-0.02895323,-0.42153846,0.00000000,-0.56610169,-0.00216920,-0.55555556,-0.43034056
Travel & Events,0.32307692,0.28455285,0.07368421,0.37588652,0.21428571,-0.06024096,0.05376344,0.12000000,0.20720721,-0.22222222,0.18518519,0.00000000,0.16981132,-0.46666667,0.06382979
Autos & Vehicles,0.09853249,0.12423625,-0.21813031,0.15851272,-0.07500000,-0.18131868,-0.20111732,-0.12565445,-0.03117506,-0.39610390,0.03370787,-0.55234657,0.00000000,-0.58671587,-0.18131868
Pets & Animals,0.42857143,0.46067416,0.15789474,0.56363636,0.33333333,0.15789474,0.33333333,0.36000000,0.36842105,0.07692308,0.46666667,-0.20000000,0.40000000,0.00000000,0.33333333
