Genre,Average EI index
Science & Technology,0.06194581918480658
Education,-0.05958351470713689
Entertainment,-0.09608361254534499
Nonprofits & Activism,-0.0678739136283776
People & Blogs,-0.05031009518032424
Howto & Style,0.024595582123720986
News & Politics,0.12827715726590153
Comedy,-0.04379591088074064
Music,-0.1404096484795827
Sports,-0.08842089902494253
Film & Animation,0.24323376816607278
Gaming,-0.16623470108813157
Travel & Events,0.24372289765473046
Autos & Vehicles,-0.16822835818445386
Pets & Animals,0.15081763316152322
