Genre,Education,Entertainment,Nonprofits & Activism,People & Blogs,Howto & Style,News & Politics,Comedy,Music,Sports,Film & Animation,Gaming,Travel & Events,Autos & Vehicles,Pets & Animals,Science & Technology
Science & Technology,0.42148760,0.36651584,0.11949686,0.50354610,0.19075145,0.07894737,0.24324324,0.30000000,0.28571429,-0.01449275,0.27083333,-0.22807018,0.36073059,-0.34615385,0.00000000
Education,0.00000000,0.24324324,-0.12000000,0.22935780,-0.02189781,-0.10817942,-0.16022099,0.01869159,0.08695652,-0.43835616,0.05405405,-0.45328720,0.10256410,-0.54981550,-0.09947644
Entertainment,0.16751269,0.00000000,-0.11564626,0.21531100,-0.05806452,-0.17703349,-0.09576837,-0.03361345,0.07169811,-0.37430168,0.10382514,-0.49090909,0.06641366,-0.48640483,-0.23929471
Nonprofits & Activism,0.23134328,0.30872483,0.00000000,0.27464789,0.02830189,-0.08421053,-0.15730337,0.08035714,0.14166667,-0.39189189,0.13080169,-0.32903226,0.14522822,-0.47142857,-0.07291667
People & Blogs,0.12040134,0.18322981,-0.18468468,0.00000000,-0.07566462,-0.14596950,-0.14099783,0.01682243,0.05734767,-0.37696335,0.07067138,-0.39153439,0.04014599,-0.55162242,-0.10736842
Howto & Style,0.26813880,0.30746269,-0.03111111,0.32163743,0.00000000,-0.03111111,-0.02654867,-0.07407407,0.15018315,-0.37278107,0.19163763,-0.38095238,0.24429967,-0.51633987,-0.05936073
News & Politics,0.31517510,0.32307692,-0.00571429,0.38028169,0.10659898,0.00000000,-0.00571429,0.11557789,0.26050420,-0.22222222,0.20000000,-0.27536232,0.21428571,-0.35384615,-0.03529412
Comedy,0.16030534,0.29712460,-0.18918919,0.28571429,0.00000000,-0.11675127,0.00000000,0.03930131,0.16666667,-0.30952381,0.18215613,-0.31736527,0.16030534,-0.41025641,0.02222222
Music,0.21448468,0.23989218,-0.07633588,0.31719128,-0.17012448,-0.11904762,-0.08461538,0.00000000,0.11875000,-0.32394366,0.18731988,-0.41000000,0.10191083,-0.46875000,-0.04059041
Sports,0.14678899,0.20851064,-0.15170279,0.22661123,-0.08454810,-0.10714286,-0.09411765,-0.01917808,0.00000000,-0.34296029,0.09708738,-0.54356846,0.07692308,-0.48207171,-0.19230769
Film & Animation,0.27131783,0.40880503,-0.02173913,0.43373494,0.06000000,0.08737864,0.10476190,0.21008403,0.31884058,0.00000000,0.20338983,-0.28767123,0.29323308,-0.30555556,0.18260870
Gaming,0.08333333,0.20958084,-0.19277108,0.20958084,-0.07317073,-0.20000000,-0.10924370,0.01980198,0.06603774,-0.47211896,0.00000000,-0.45588235,0.08545035,-0.50570342,-0.23750000
Travel & Events,0.44954128,0.47368421,0.26829268,0.58620690,0.26829268,0.25000000,0.31034483,0.32584270,0.29411765,-0.07142857,0.42307692,0.00000000,0.41176471,-0.17647059,0.18918919
Autos & Vehicles,0.09787234,0.13995943,-0.21142857,0.14688129,-0.05210918,-0.21839080,-0.16483516,-0.10129870,0.01165501,-0.42281879,0.05145414,-0.49295775,0.00000000,-0.67588933,-0.17451524
Pets & Animals,0.40229885,0.53153153,0.17460317,0.49019608,0.17460317,0.23529412,0.27777778,0.32467532,0.42857143,-0.01960784,0.42857143,-0.10638298,0.22388060,0.00000000,0.13333333
