Genre,Average EI index
Science & Technology,0.0710511566762148
Education,-0.048390769307806246
Entertainment,-0.14005976017866192
Nonprofits & Activism,-0.0010322406607067053
People & Blogs,-0.08075338297397647
Howto & Style,0.020402185267640847
News & Politics,0.05965815758628284
Comedy,-0.0038196844391653567
Music,0.04850754491845406
Sports,-0.11733822355529637
Film & Animation,0.16582096211319503
Gaming,-0.11722804035034089
Travel & Events,0.27344134466584336
Autos & Vehicles,-0.12106721657785613
Pets & Animals,0.18427822642903807
