Genre,Average EI index
Science & Technology,-0.03100062051231179
Education,-0.03395134538972486
Entertainment,-0.10571270774690099
Nonprofits & Activism,0.016873582772073327
People & Blogs,-0.10821696820686033
Howto & Style,-0.013893422369965923
News & Politics,0.1295574049293228
Comedy,-0.03496611946484313
Music,-0.0333093474391804
Sports,-0.15574025155879817
Film & Animation,0.10683542938039604
Gaming,-0.17154357000984688
Travel & Events,0.22588871914018244
Autos & Vehicles,-0.08335814800397356
Pets & Animals,0.20189280992585829
