Genre,Average EI index
Science & Technology,0.012891762760404015
Education,-0.06178094378047899
Entertainment,-0.11532904782371099
Nonprofits & Activism,-0.03759253549936383
People & Blogs,-0.13704722186741244
Howto & Style,-0.07737840286996026
News & Politics,0.08648334380764736
Comedy,-0.06772773665388905
Music,-0.06535815645357974
Sports,-0.16358602542532358
Film & Animation,0.22082630539631284
Gaming,-0.16975124812950368
Travel & Events,0.16777123041838732
Autos & Vehicles,-0.13338059303390598
Pets & Animals,0.22462519272155015
