Genre,Average EI index
Science & Technology,0.08402195905641918
Education,-0.07274092152978147
Entertainment,-0.11238340294726144
Nonprofits & Activism,0.007988439149537178
People & Blogs,-0.08530793484612939
Howto & Style,-0.010599323485398021
News & Politics,0.1359901040730887
Comedy,0.003606199348716021
Music,-0.04788052403490279
Sports,-0.19088815816995655
Film & Animation,0.18921709240184853
Gaming,-0.17177587911643774
Travel & Events,0.2412405578201613
Autos & Vehicles,-0.13815567497553222
Pets & Animals,0.2347844210631195
