Genre,Education,Entertainment,Nonprofits & Activism,People & Blogs,Howto & Style,News & Politics,Comedy,Music,Sports,Film & Animation,Gaming,Travel & Events,Autos & Vehicles,Pets & Animals,Science & Technology
Science & Technology,0.39917695,0.40890688,0.10429448,0.46715328,0.22751323,0.08750000,0.07594937,0.18435754,0.27363184,-0.32727273,0.34234234,-0.15873016,0.35111111,-0.25862069,0.00000000
Education,0.00000000,0.26062847,-0.07526882,0.25093633,-0.03092784,-0.05540897,-0.10192837,0.02200489,0.13606911,-0.31147541,0.06323185,-0.38888889,0.10714286,-0.57480315,-0.08108108
Entertainment,0.19230769,0.00000000,-0.12135922,0.22742475,-0.06206897,-0.14356436,-0.02895323,0.07600000,0.08695652,-0.28690808,0.08514851,-0.40425532,0.11153846,-0.47133758,-0.14074074
Nonprofits & Activism,0.24187726,0.26573427,0.00000000,0.28813559,-0.04477612,-0.05000000,-0.06598985,0.04545455,0.10638298,-0.38157895,0.13223140,-0.42857143,0.11392405,-0.42857143,-0.07692308
People & Blogs,0.12457912,0.17065391,-0.15555556,0.00000000,-0.05476673,-0.15555556,-0.16071429,-0.00192678,0.10806175,-0.39410188,0.05282332,-0.42857143,0.11111111,-0.51162791,-0.12798265
Howto & Style,0.27027027,0.30769231,-0.05882353,0.36656891,0.00000000,0.02702703,-0.00465116,0.05263158,0.20295203,-0.25581395,0.26779661,-0.51048951,0.26027397,-0.43046358,0.03571429
News & Politics,0.33582090,0.32061069,0.03260870,0.36200717,0.12315271,0.00000000,-0.01136364,0.11000000,0.19457014,-0.22758621,0.19090909,-0.24475524,0.18348624,-0.39062500,-0.01136364
Comedy,0.18978102,0.32522796,-0.09359606,0.25752508,-0.01834862,-0.12121212,0.00000000,0.04310345,0.17777778,-0.20000000,0.14615385,-0.42307692,0.15589354,-0.43225806,-0.13265306
Music,0.16434540,0.28400955,-0.13207547,0.26650367,-0.11111111,-0.14942529,-0.10701107,0.00000000,0.09638554,-0.38888889,0.09909910,-0.43540670,0.08814590,-0.54639175,-0.17187500
Sports,0.18735892,0.20879121,-0.16129032,0.28429423,-0.04956268,-0.15384615,-0.06194690,0.00552486,0.00000000,-0.45161290,0.11980440,-0.45161290,0.09090909,-0.48760331,-0.16883117
Film & Animation,0.45833333,0.53293413,0.09302326,0.48684211,0.24271845,0.17894737,0.30973451,0.25714286,0.27102804,0.00000000,0.40000000,-0.21875000,0.36585366,-0.27868852,-0.02631579
Gaming,0.03181818,0.12525667,-0.21714286,0.15139442,-0.06500000,-0.23837209,-0.17679558,-0.07575758,0.03619910,-0.40131579,0.00000000,-0.46896552,0.04697987,-0.63218391,-0.17679558
Travel & Events,0.40800000,0.45185185,0.06329114,0.47517730,-0.02777778,0.18681319,0.09756098,0.22916667,0.29523810,-0.19354839,0.35087719,0.00000000,0.21276596,-0.27586207,0.17777778
Autos & Vehicles,0.10714286,0.18200409,-0.20481928,0.23809524,-0.04166667,-0.21580547,-0.13636364,-0.05540897,0.03846154,-0.40845070,0.07834101,-0.55642023,0.00000000,-0.55642023,-0.13636364
Pets & Animals,0.35000000,0.52293578,0.23529412,0.52727273,0.24637681,0.20000000,0.25714286,0.25714286,0.40909091,-0.08333333,0.29729730,-0.10638298,0.37349398,0.00000000,0.24637681
