Genre,Average EI index
Science & Technology,0.18835190855438852
Education,-0.07350571412710163
Entertainment,-0.08514249678889911
Nonprofits & Activism,-0.12412830941925122
People & Blogs,-0.06533588685967669
Howto & Style,-0.029244429328350318
News & Politics,0.11023001346855531
Comedy,-0.06220529981941125
Music,-0.03365412311456578
Sports,-0.057757211118565306
Film & Animation,0.13903991216183384
Gaming,-0.19962218739877774
Travel & Events,0.1980190770863581
Autos & Vehicles,-0.12926102152917754
Pets & Animals,0.2461132488227515
