Genre,Average EI index
Science & Technology,0.0802487041971105
Education,-0.11021738985031124
Entertainment,-0.0678909751373215
Nonprofits & Activism,-0.04586932571912752
People & Blogs,-0.09494982173427546
Howto & Style,0.03237211137268981
News & Politics,-0.005800292350155433
Comedy,-0.08682517396294566
Music,-0.07595350899297877
Sports,-0.10883261718452686
Film & Animation,0.13698077343486834
Gaming,-0.1805742869813131
Travel & Events,0.07200998321986675
Autos & Vehicles,-0.17328620317189067
Pets & Animals,0.2642633256423645
