Genre,Average EI index
Science & Technology,0.11170715276583047
Education,-0.10608927109867171
Entertainment,-0.10466009242593718
Nonprofits & Activism,-0.06527434486160748
People & Blogs,-0.04968041607145316
Howto & Style,0.03606689651584834
News & Politics,0.09467315487749663
Comedy,-0.0070656263292986155
Music,-0.08943713610674676
Sports,-0.12046289288995012
Film & Animation,0.16938414920459804
Gaming,-0.19975954191612258
Travel & Events,0.05923562125390865
Autos & Vehicles,-0.14808773412082574
Pets & Animals,0.27056609367386353
