Genre,Average EI index
Science & Technology,0.1491235999000334
Education,-0.11552714947624103
Entertainment,-0.13880618090825367
Nonprofits & Activism,-0.022885533192401466
People & Blogs,-0.07291873461577507
Howto & Style,-0.018955044310117068
News & Politics,0.09610531874037487
Comedy,-0.07307912170976986
Music,-0.053688683688656653
Sports,-0.12078908177895142
Film & Animation,0.311915904155637
Gaming,-0.20941994966704236
Travel & Events,0.12878039587645973
Autos & Vehicles,-0.08628039924094821
Pets & Animals,0.1853553396549821
