Genre,Average EI index
Science & Technology,0.09254430818812502
Education,-0.04725067693733555
Entertainment,-0.086003959610189
Nonprofits & Activism,-0.0018514237449940454
People & Blogs,-0.15697358998347904
Howto & Style,-0.0035760062094449857
News & Politics,0.0017928622343950215
Comedy,-0.0495794196236475
Music,-0.06640635132122562
Sports,-0.13285294606236062
Film & Animation,0.22567061240276812
Gaming,-0.18159338219419577
Travel & Events,0.15467295708265166
Autos & Vehicles,-0.15228898957169487
Pets & Animals,0.2233109840884567
