Genre,Education,Entertainment,Nonprofits & Activism,People & Blogs,Howto & Style,News & Politics,Comedy,Music,Sports,Film & Animation,Gaming,Travel & Events,Autos & Vehicles,Pets & Animals,Science & Technology
Science & Technology,0.25806452,0.29501916,-0.04545455,0.35211268,0.08910891,-0.07602339,-0.06976744,0.10243902,0.18584071,-0.26896552,0.23966942,-0.39393939,0.26693227,-0.46031746,0.00000000
Education,0.00000000,0.23163842,-0.11780822,0.29411765,0.00729927,-0.09677419,-0.14929577,0.01449275,0.09734513,-0.44680851,0.13559322,-0.45714286,0.09534368,-0.53383459,-0.13333333
Entertainment,0.10847458,0.00000000,-0.21759259,0.18952234,-0.13606911,-0.16888889,-0.12633833,-0.00959693,0.03308824,-0.43715847,0.01498127,-0.49431818,0.05734767,-0.57014925,-0.21759259
Nonprofits & Activism,0.10273973,0.12666667,0.00000000,0.10580205,-0.15929204,-0.14912281,-0.10084034,-0.09623431,-0.05220884,-0.40860215,0.04379562,-0.52325581,-0.02343750,-0.49714286,-0.21860465
People & Blogs,0.18541997,0.20062208,-0.22673031,0.00000000,-0.03006012,-0.21513002,-0.09361702,-0.06198347,0.10763889,-0.33506494,0.05340700,-0.37801609,0.07553957,-0.45609065,-0.14476615
Howto & Style,0.27384615,0.25786164,-0.10798122,0.34444444,0.00000000,-0.15121951,-0.04424779,0.05976096,0.13868613,-0.32584270,0.18620690,-0.32584270,0.17482517,-0.54248366,-0.03508772
News & Politics,0.35483871,0.40074906,0.09604520,0.34959350,0.04191617,0.00000000,0.08571429,0.18367347,0.29824561,-0.17647059,0.31623932,-0.33333333,0.36000000,-0.42857143,-0.00628931
Comedy,0.08633094,0.23262840,-0.08547009,0.25294118,-0.08085106,-0.14414414,0.00000000,-0.04526749,0.06273063,-0.33684211,0.07636364,-0.47674419,0.06617647,-0.58750000,-0.22705314
Music,0.13513514,0.23444976,-0.19402985,0.17312661,-0.09215017,-0.15942029,-0.15942029,0.00000000,0.02735562,-0.31687243,0.03323263,-0.36752137,0.06158358,-0.56862745,-0.17216117
Sports,0.09977827,0.16115702,-0.26479751,0.22222222,-0.13091922,-0.15669516,-0.17002882,-0.09139785,0.00000000,-0.46570397,0.06235566,-0.50929368,0.00245700,-0.53787879,-0.20474777
Film & Animation,0.34482759,0.46099291,0.18279570,0.54216867,0.22448980,0.19148936,0.24752475,0.37190083,0.32142857,0.00000000,0.37704918,-0.05555556,0.40157480,-0.26666667,0.16483516
Gaming,0.13800425,0.14345992,-0.17341040,0.16973415,-0.08266667,-0.13725490,-0.15669516,-0.08556150,0.06235566,-0.41463415,0.00000000,-0.52631579,0.04918033,-0.53787879,-0.15014164
Travel & Events,0.33333333,0.40157480,0.03797468,0.50649351,0.22448980,0.02564103,0.08433735,0.32142857,0.26923077,-0.05555556,0.24752475,0.00000000,0.22448980,-0.31034483,0.02564103
Autos & Vehicles,0.09777778,0.18473896,-0.23780488,0.19123506,-0.09433962,-0.08847185,-0.16666667,-0.05729167,0.00245700,-0.39041096,0.04918033,-0.54372624,0.00000000,-0.50929368,-0.12154696
Pets & Animals,0.37777778,0.44000000,0.22222222,0.54838710,0.11111111,0.06666667,0.08196721,0.22222222,0.37078652,-0.12000000,0.37078652,-0.16666667,0.40425532,0.00000000,0.09677419
