Genre,Average EI index
Science & Technology,0.12848741250867005
Education,-0.11748044105232783
Entertainment,-0.1261458020354798
Nonprofits & Activism,0.005308645262950384
People & Blogs,-0.07008488701454582
Howto & Style,-0.00534956309211705
News & Politics,0.0333532497723217
Comedy,0.030900802073334194
Music,-0.06273478917743729
Sports,-0.17400744134028706
Film & Animation,0.3412197033187452
Gaming,-0.11325921896103487
Travel & Events,0.14944958336168573
Autos & Vehicles,-0.10780149753127187
Pets & Animals,0.11539468629004197
