Genre,Education,Entertainment,Nonprofits & Activism,People & Blogs,Howto & Style,News & Politics,Comedy,Music,Sports,Film & Animation,Gaming,Travel & Events,Autos & Vehicles,Pets & Animals,Science & Technology
Science & Technology,0.33606557,0.35458167,0.04705882,0.40000000,0.06358382,0.15183246,-0.01886792,0.10000000,0.25000000,-0.29600000,0.27354260,-0.17391304,0.32217573,-0.24615385,0.00000000
Education,0.00000000,0.15675676,-0.17884131,0.16725979,-0.14705882,-0.14987715,-0.21243523,-0.04000000,0.02702703,-0.44000000,0.02500000,-0.48571429,0.03901437,-0.56521739,-0.17884131
Entertainment,0.09369676,0.00000000,-0.24009324,0.19637462,-0.10602911,-0.18750000,-0.11297071,-0.05765408,-0.02504817,-0.39267016,0.03096539,-0.46556474,0.02025783,-0.52435530,-0.22018349
Nonprofits & Activism,0.18978102,0.18978102,0.00000000,0.29073482,-0.09359606,-0.11557789,-0.12690355,-0.10447761,0.10843373,-0.30588235,0.13953488,-0.38750000,0.14615385,-0.53103448,-0.11000000
People & Blogs,0.15087719,0.24137931,-0.09009009,0.00000000,-0.00623701,-0.11009174,-0.01043841,0.04536489,0.11192661,-0.38681948,0.09363296,-0.46666667,0.11517367,-0.45345345,-0.12296984
Howto & Style,0.17171717,0.27218935,-0.14418605,0.32044199,0.00000000,-0.07894737,0.00806452,0.10218978,0.11191336,-0.38202247,0.08550186,-0.35164835,0.16891892,-0.47305389,-0.14418605
News & Politics,0.30075188,0.32363636,-0.02762431,0.35191638,0.06060606,0.00000000,-0.02762431,0.12264151,0.15068493,-0.21568627,0.19130435,-0.41984733,0.10576923,-0.46456693,0.08374384
Comedy,0.17374517,0.32915361,-0.10880829,0.37790698,0.07758621,-0.09743590,0.00000000,0.07758621,0.10460251,-0.32098765,0.21611722,-0.33750000,0.11570248,-0.38064516,-0.15675676
Music,0.17711172,0.22164948,-0.25311203,0.27403846,0.00000000,-0.11851852,-0.09420290,0.00000000,0.13467049,-0.32456140,0.09580838,-0.43127962,0.04430380,-0.61497326,-0.20800000
Sports,0.09777778,0.10964912,-0.19061584,0.19762846,-0.13725490,-0.23404255,-0.21194030,-0.01246883,0.00000000,-0.45519713,0.06666667,-0.49264706,0.04694836,-0.50929368,-0.20118343
Film & Animation,0.34814815,0.45000000,0.14563107,0.41721854,0.11111111,0.15384615,0.11111111,0.27272727,0.26666667,0.00000000,0.32824427,-0.25714286,0.36231884,-0.31343284,0.00000000
Gaming,0.09821429,0.16701031,-0.15759312,0.18218623,-0.16091954,-0.19174041,-0.09782609,-0.04935065,0.06912442,-0.39792388,0.00000000,-0.46376812,0.06264501,-0.52452830,-0.17441860
Travel & Events,0.37288136,0.44776119,0.13953488,0.40800000,0.22916667,0.01333333,0.17777778,0.23711340,0.30188679,-0.17460317,0.33333333,0.00000000,0.26732673,-0.57446809,0.21276596
Autos & Vehicles,0.04761905,0.09270217,-0.21372032,0.14018692,-0.14143921,-0.33333333,-0.26027397,-0.16455696,-0.01545254,-0.41975309,-0.00217865,-0.56462585,0.00000000,-0.71641791,-0.18556701
Pets & Animals,0.41304348,0.50909091,0.11475410,0.54237288,0.23943662,0.11475410,0.28000000,0.14285714,0.41935484,-0.08000000,0.40000000,-0.45945946,0.16923077,0.00000000,0.28947368
