Genre,Average EI index
Science & Technology,0.17024923488311955
Education,-0.13223386150841993
Entertainment,-0.08997317434162921
Nonprofits & Activism,-0.05643317875651925
People & Blogs,-0.06015205438099247
Howto & Style,-0.0022080761999614157
News & Politics,0.04530056192300402
Comedy,0.0075832427801713065
Music,-0.03336299759355983
Sports,-0.11170258952765837
Film & Animation,0.17481227339858846
Gaming,-0.15087280397801692
Travel & Events,0.10249239366201117
Autos & Vehicles,-0.09418974065639399
Pets & Animals,0.3632678716622905
