Genre,Average EI index
Science & Technology,0.1330131905027308
Education,-0.047106643789174465
Entertainment,-0.140202052940751
Nonprofits & Activism,-0.028117296201495473
People & Blogs,-0.11050809740302968
Howto & Style,-0.03503908495673457
News & Politics,0.07682129213495026
Comedy,0.05208513582746072
Music,-0.10409727472606832
Sports,-0.11524992888083352
Film & Animation,0.13364595519534633
Gaming,-0.0755807979725819
Travel & Events,0.134596318914385
Autos & Vehicles,-0.13003469259992154
Pets & Animals,0.3785529881285111
