Genre,Education,Entertainment,Nonprofits & Activism,People & Blogs,Howto & Style,News & Politics,Comedy,Music,Sports,Film & Animation,Gaming,Travel & Events,Autos & Vehicles,Pets & Animals,Science & Technology
Science & Technology,0.37190083,0.42641509,0.11111111,0.40392157,0.22842640,0.07878788,0.12138728,0.14606742,0.30909091,-0.23577236,0.32142857,-0.18750000,0.23618090,-0.39449541,0.00000000
Education,0.00000000,0.27509294,-0.08635097,0.28308824,-0.02362205,-0.10795455,-0.01562500,-0.00257069,0.15766739,-0.33105802,0.11564626,-0.43911439,0.12556054,-0.50579151,-0.08033241
Entertainment,0.16666667,0.00000000,-0.17224880,0.19008264,-0.08167770,-0.16389549,-0.04033970,0.00000000,0.06844106,-0.37640449,0.07020873,-0.40000000,0.06488550,-0.56549521,-0.12903226
Nonprofits & Activism,0.25670498,0.28148148,0.00000000,0.31448763,0.04901961,-0.13450292,0.03000000,0.03482587,0.15652174,-0.21250000,0.22400000,-0.38571429,0.19166667,-0.45864662,-0.01041667
People & Blogs,0.15181518,0.16693679,-0.16027088,0.00000000,-0.05979381,-0.11255411,-0.09361702,0.00580271,0.11379310,-0.40054496,0.07052441,-0.42777778,0.08214286,-0.47701149,-0.17889908
Howto & Style,0.25252525,0.30407524,-0.01834862,0.34513274,0.00000000,-0.05714286,0.05128205,0.14615385,0.17472119,-0.22651934,0.14615385,-0.37037037,0.20430108,-0.56338028,0.04310345
News & Politics,0.18939394,0.24381625,-0.18232044,0.31410256,-0.03883495,0.00000000,-0.13227513,0.01382488,0.13360324,-0.31288344,0.13008130,-0.42666667,0.11570248,-0.49650350,-0.09183673
Comedy,0.33098592,0.40809969,0.04040404,0.38311688,0.12844037,-0.07344633,0.00000000,0.10377358,0.22448980,-0.31034483,0.14798206,-0.40740741,0.21487603,-0.30136986,0.01041667
Music,0.12463768,0.23737374,-0.18431373,0.26520681,-0.00666667,-0.15708812,-0.12686567,0.00000000,0.07361963,-0.36651584,0.10650888,-0.37899543,0.11176471,-0.49504950,-0.19367589
Sports,0.19642857,0.21908894,-0.15015974,0.28429423,-0.06508876,-0.12500000,-0.09090909,-0.01408451,0.00000000,-0.37931034,0.04761905,-0.48148148,0.12621359,-0.55172414,-0.11111111
Film & Animation,0.39007092,0.44155844,0.18867925,0.43790850,0.23893805,0.13131313,0.07526882,0.23893805,0.30645161,0.00000000,0.31200000,-0.26470588,0.30645161,-0.21126761,0.04444444
Gaming,0.05128205,0.11904762,-0.18400000,0.14285714,-0.19676550,-0.22991690,-0.26857143,-0.08557457,-0.05714286,-0.46052632,0.00000000,-0.55789474,0.05531915,-0.53103448,-0.20000000
Travel & Events,0.29914530,0.43835616,0.02380952,0.43055556,0.10869565,0.02380952,-0.01234568,0.24770642,0.21153846,-0.24242424,0.21153846,0.00000000,0.28695652,-0.54716981,0.11827957
Autos & Vehicles,0.09846827,0.15051546,-0.18051576,0.19056974,-0.10160428,-0.20821114,-0.16713881,-0.04303797,0.05936073,-0.43554007,0.09251101,-0.47142857,0.00000000,-0.59073359,-0.25227964
Pets & Animals,0.33333333,0.36000000,0.05882353,0.47967480,-0.01587302,0.05882353,0.22891566,0.22891566,0.23809524,-0.06666667,0.36000000,-0.45454545,0.24705882,0.00000000,0.01538462
