Genre,Average EI index
Science & Technology,0.1383535849066601
Education,-0.045383159555412965
Entertainment,-0.09777207550448051
Nonprofits & Activism,0.02406624901580844
People & Blogs,-0.09424672064945387
Howto & Style,0.03083480126072494
News & Politics,-0.0386282998173512
Comedy,0.06428690086412604
Music,-0.07071852906196704
Sports,-0.07823034229582881
Film & Animation,0.1882892387525412
Gaming,-0.17163720194770413
Travel & Events,0.11417510163192206
Autos & Vehicles,-0.13279032924371031
Pets & Animals,0.1479957181521545
