Genre,Education,Entertainment,Nonprofits & Activism,People & Blogs,Howto & Style,News & Politics,Comedy,Music,Sports,Film & Animation,Gaming,Travel & Events,Autos & Vehicles,Pets & Animals,Science & Technology
Science & Technology,0.26482213,0.34507042,-0.04494382,0.33807829,-0.03910615,-0.08139535,-0.02762431,0.05102041,0.20171674,-0.24000000,0.17333333,-0.30069930,0.26771654,-0.50000000,0.00000000
Education,0.00000000,0.21706865,-0.14054054,0.25441696,-0.01686747,-0.04455446,-0.03431373,-0.06565657,0.04524887,-0.32704403,0.04090909,-0.47552448,0.05803571,-0.56296296,-0.13746631
Entertainment,0.15696649,0.00000000,-0.09132420,0.21895425,-0.08144796,-0.13539192,-0.08390023,-0.02136752,0.04590818,-0.34269663,0.10150376,-0.39766082,0.12454212,-0.54692557,-0.11162791
Nonprofits & Activism,0.16911765,0.27564103,0.00000000,0.22336770,-0.02727273,-0.09708738,-0.15897436,0.08870968,0.08502024,-0.43949045,0.08502024,-0.50666667,0.05833333,-0.56944444,-0.14141414
People & Blogs,0.13418530,0.15838509,-0.20712695,0.00000000,-0.05653021,-0.24311927,-0.13152401,-0.07114625,0.08445946,-0.38618926,0.05078809,-0.50974930,0.06390328,-0.47282609,-0.18082789
Howto & Style,0.27500000,0.27272727,-0.04035874,0.35195531,0.00000000,-0.06912442,-0.10476190,0.09375000,0.15018315,-0.38922156,0.18881119,-0.40606061,0.23178808,-0.41463415,-0.14851485
News & Politics,0.39350181,0.36842105,0.05084746,0.32530120,0.09189189,0.00000000,0.10638298,0.18446602,0.25991189,-0.36585366,0.24324324,-0.22627737,0.23287671,-0.35483871,-0.03067485
Comedy,0.30033003,0.31168831,-0.12765957,0.32484076,-0.06000000,-0.00952381,0.00000000,0.02752294,0.16205534,-0.21839080,0.18146718,-0.40397351,0.14516129,-0.34177215,-0.09278351
Music,0.08504399,0.18961039,-0.07216495,0.20204604,-0.05405405,-0.12230216,-0.16417910,0.00000000,0.04294479,-0.30000000,0.12112676,-0.45794393,0.11363636,-0.57575758,-0.20463320
Sports,0.07192575,0.13419913,-0.19760479,0.23224568,-0.12044818,-0.16618076,-0.15273775,-0.08108108,0.00000000,-0.43369176,0.08256881,-0.49253731,0.03147700,-0.55642023,-0.17647059
Film & Animation,0.45578231,0.49044586,0.04761905,0.50000000,0.12087912,-0.01265823,0.25925926,0.35483871,0.32773109,0.00000000,0.36000000,-0.03896104,0.27927928,-0.35593220,0.17525773
Gaming,0.04090909,0.16269841,-0.22318841,0.17416830,-0.10761155,-0.20916905,-0.15934066,-0.02926829,0.05592841,-0.42567568,0.00000000,-0.54014599,0.01631702,-0.56296296,-0.23032070
Travel & Events,0.22950820,0.37333333,-0.11904762,0.30370370,0.02083333,0.06000000,-0.02173913,0.10476190,0.18260870,-0.11904762,0.14545455,0.00000000,0.14545455,-0.46875000,0.03092784
Autos & Vehicles,0.06040268,0.18762089,-0.24629080,0.18918919,-0.06060606,-0.21739130,-0.19318182,-0.03448276,0.00709220,-0.49466192,0.01869159,-0.53846154,0.00000000,-0.59090909,-0.13207547
Pets & Animals,0.31111111,0.38613861,0.00000000,0.51562500,0.21518987,0.12676056,0.25301205,0.15068493,0.29545455,-0.24000000,0.31111111,-0.29166667,0.27058824,0.00000000,0.00000000
