Genre,Education,Entertainment,Nonprofits & Activism,People & Blogs,Howto & Style,News & Politics,Comedy,Music,Sports,Film & Animation,Gaming,Travel & Events,Autos & Vehicles,Pets & Animals,Science & Technology
Science & Technology,0.25738397,0.33333333,0.02222222,0.36000000,0.04347826,-0.01734104,0.06382979,0.16190476,0.21777778,-0.36434109,0.24786325,-0.29411765,0.24786325,-0.41935484,0.00000000
Education,0.00000000,0.15459883,-0.15508021,0.25000000,-0.01408451,-0.10204082,-0.09923664,-0.01408451,0.04424779,-0.36708861,0.09433962,-0.50522648,0.06896552,-0.57664234,-0.18356164
Entertainment,0.05169340,0.00000000,-0.22863741,0.17647059,-0.08350305,-0.15151515,-0.16157205,-0.02111324,0.05338078,-0.44959128,0.00931099,-0.50282486,0.05840708,-0.61212121,-0.20361991
Nonprofits & Activism,0.25896414,0.28461538,0.00000000,0.36949153,0.07920792,-0.07514451,0.00534759,0.15454545,0.18421053,-0.28275862,0.14678899,-0.24832215,0.26190476,-0.52459016,-0.00540541
People & Blogs,0.20000000,0.22580645,-0.08597285,0.00000000,-0.01694915,-0.09589041,-0.07623318,0.03614458,0.13824057,-0.37142857,0.08918406,-0.38328530,0.11275416,-0.43712575,-0.12412178
Howto & Style,0.32911392,0.35951662,0.01395349,0.37278107,0.00000000,-0.12765957,0.08225108,0.14516129,0.10924370,-0.24705882,0.24822695,-0.36774194,0.23188406,-0.39473684,-0.04950495
News & Politics,0.32330827,0.37062937,-0.05882353,0.37500000,-0.04651163,0.00000000,-0.04651163,0.02702703,0.21739130,-0.20805369,0.22077922,-0.34328358,0.24369748,-0.29496403,-0.02857143
Comedy,0.25088339,0.28859060,-0.06000000,0.32051282,0.08225108,-0.12765957,0.00000000,0.09787234,0.19391635,-0.32500000,0.19696970,-0.37662338,0.09787234,-0.42281879,-0.02912621
Music,0.18980170,0.28140704,-0.05925926,0.28678304,-0.00350877,-0.20168067,-0.05147059,0.00000000,0.08626198,-0.33644860,0.11728395,-0.40886700,0.07142857,-0.46666667,-0.07924528
Sports,0.09006928,0.20081136,-0.18674699,0.23346304,-0.19756839,-0.16913947,-0.11299435,-0.07356948,0.00000000,-0.39222615,0.06413302,-0.51538462,0.02716049,-0.51538462,-0.17964072
Film & Animation,0.31578947,0.32026144,0.00000000,0.35802469,0.10344828,0.06306306,0.01886792,0.15447154,0.24637681,0.00000000,0.28767123,-0.33333333,0.22388060,-0.57575758,-0.11827957
Gaming,0.09894737,0.11752577,-0.26253687,0.14570858,-0.09743590,-0.20563380,-0.15053763,-0.08354430,0.02283105,-0.38961039,0.00000000,-0.54512635,0.01154734,-0.57933579,-0.18888889
Travel & Events,0.29090909,0.38582677,0.17894737,0.46575342,0.11363636,0.06024096,0.10344828,0.21212121,0.23529412,-0.20000000,0.23529412,0.00000000,0.37600000,-0.50000000,0.10344828
Autos & Vehicles,0.08061002,0.17254902,-0.14054054,0.17578125,-0.10761155,-0.17548747,-0.24117647,-0.12234043,-0.00715990,-0.44027304,0.01860465,-0.42087542,0.00000000,-0.58052434,-0.18207283
Pets & Animals,0.28888889,0.33333333,-0.04918033,0.49206349,0.17948718,0.20987654,0.14666667,0.23809524,0.32631579,-0.39130435,0.28089888,-0.42222222,0.27272727,0.00000000,0.05882353
