Genre,Average EI index
Science & Technology,0.2163165481722486
Education,-0.1504443733130203
Entertainment,-0.1480280741674141
Nonprofits & Activism,-0.07282060995175353
People & Blogs,-0.08650020378388489
Howto & Style,-0.07375285525873473
News & Politics,0.032102137586663
Comedy,-0.02110309423260578
Music,-0.005642963396215526
Sports,-0.13896765158244423
Film & Animation,0.18297045954421723
Gaming,-0.18156789672245083
Travel & Events,0.0629416464713598
Autos & Vehicles,-0.18807297388821834
Pets & Animals,0.29253972220860974
