Genre,Average EI index
Science & Technology,0.1274846119698356
Education,-0.087247451443209
Entertainment,-0.07227665658426775
Nonprofits & Activism,-0.05332953184487266
People & Blogs,-0.09467679005071576
Howto & Style,0.09852168345634116
News & Politics,0.07278368704502361
Comedy,-0.09606721123709647
Music,-0.07096613636776535
Sports,-0.08420444624422752
Film & Animation,0.23224818572152683
Gaming,-0.15374975019721832
Travel & Events,0.022997000289910068
Autos & Vehicles,-0.15224131475146788
Pets & Animals,0.3381094219489751
