Genre,Education,Entertainment,Nonprofits & Activism,People & Blogs,Howto & Style,News & Politics,Comedy,Music,Sports,Film & Animation,Gaming,Travel & Events,Autos & Vehicles,Pets & Animals,Science & Technology
Science & Technology,0.39463602,0.35510204,0.03067485,0.42335766,0.20202020,0.11235955,0.11731844,0.03067485,0.25821596,-0.21538462,0.27188940,-0.28455285,0.31004367,-0.41071429,0.00000000
Education,0.00000000,0.22027290,-0.13636364,0.27272727,-0.04712042,-0.06666667,-0.08991826,0.00000000,0.13606911,-0.36054422,0.15611814,-0.41342756,0.11504425,-0.57480315,-0.04712042
Entertainment,0.14025501,0.00000000,-0.12649165,0.23624595,-0.05122494,-0.15121951,-0.02386117,-0.00212314,0.10436433,-0.38823529,0.16163410,-0.47962382,0.09923664,-0.48895899,-0.17412935
Nonprofits & Activism,0.16030534,0.24914676,0.00000000,0.24398625,-0.07843137,-0.07317073,-0.12820513,0.04347826,0.09090909,-0.38364780,0.10204082,-0.36645963,0.14062500,-0.42857143,-0.13402062
People & Blogs,0.16279070,0.20504732,-0.16397229,0.00000000,-0.04781705,-0.07234043,-0.11504425,0.04182510,0.09025271,-0.33687003,0.05084746,-0.42776204,0.06319703,-0.45664740,-0.12751678
Howto & Style,0.20529801,0.27927928,-0.12149533,0.31232092,0.00000000,-0.14832536,0.01234568,0.03614458,0.12087912,-0.31147541,0.09090909,-0.27659574,0.18918919,-0.42857143,-0.00418410
News & Politics,0.28676471,0.28413284,-0.01041667,0.38412698,-0.04301075,0.00000000,-0.02645503,0.02512563,0.08056872,-0.28476821,0.14912281,-0.41605839,0.19166667,-0.46969697,0.01020408
Comedy,0.21014493,0.34730539,-0.12371134,0.29449838,0.06034483,-0.08457711,0.00000000,0.02678571,0.17110266,-0.34567901,0.14509804,-0.45333333,0.15503876,-0.48299320,-0.04306220
Music,0.13314448,0.21134021,-0.12087912,0.28337237,-0.08510638,-0.20000000,-0.14179104,0.00000000,0.11560694,-0.42990654,0.11560694,-0.38461538,0.11304348,-0.50000000,-0.29113924
Sports,0.14347826,0.19262295,-0.19756839,0.21042084,-0.12571429,-0.26688103,-0.12250712,-0.01025641,0.00000000,-0.39716312,0.04600484,-0.55118110,0.02233251,-0.50957854,-0.19033233
Film & Animation,0.24503311,0.29192547,-0.07547170,0.37362637,0.05000000,-0.02702703,-0.03636364,0.03389831,0.19718310,0.00000000,0.18571429,-0.39024390,0.12307692,-0.42500000,-0.05555556
Gaming,0.12525667,0.21111111,-0.22413793,0.13414634,-0.19327731,-0.23837209,-0.18662953,-0.04926108,0.00699301,-0.43918919,0.00000000,-0.54347826,0.04484305,-0.66406250,-0.21367521
Travel & Events,0.36065574,0.36065574,0.13333333,0.44285714,0.27102804,0.01265823,0.02500000,0.27102804,0.18750000,-0.21875000,0.23529412,0.00000000,0.30973451,-0.23809524,0.06024096
Autos & Vehicles,0.09565217,0.16129032,-0.17514124,0.15789474,-0.08333333,-0.18518519,-0.16526611,-0.04000000,-0.00483092,-0.48042705,0.05668934,-0.47517730,0.00000000,-0.58778626,-0.16201117
Pets & Animals,0.35000000,0.51401869,0.25714286,0.56666667,0.29729730,0.14754098,0.18750000,0.32467532,0.42222222,-0.06122449,0.24637681,-0.04000000,0.35000000,0.00000000,0.11864407
