Genre,Average EI index
Science & Technology,0.1139743490586561
Education,-0.05969518878994186
Entertainment,-0.08172370320239432
Nonprofits & Activism,-0.04014394157639819
People & Blogs,-0.08100071060637802
Howto & Style,-0.0031629644091769565
News & Politics,0.011521886684751135
Comedy,-0.008788392681400596
Music,-0.0843802369480491
Sports,-0.12545163768273265
Film & Animation,0.035056838929765514
Gaming,-0.15926663760829526
Travel & Events,0.15808147220688193
Autos & Vehicles,-0.13483085671343925
Pets & Animals,0.2629186023424718
