Genre,Average EI index
Science & Technology,0.20771838424120945
Education,-0.14024025573796
Entertainment,-0.08139020282732903
Nonprofits & Activism,-0.09903670457944498
People & Blogs,-0.09589982772760729
Howto & Style,-0.03448601006853348
News & Politics,0.04637850264855481
Comedy,-0.0427117557357269
Music,-0.08179495460407267
Sports,-0.1290449843591354
Film & Animation,0.14890416132268292
Gaming,-0.1235322518473648
Travel & Events,0.059895493170660195
Autos & Vehicles,-0.16150443443299003
Pets & Animals,0.2868185683062708
