Genre,Education,Entertainment,Nonprofits & Activism,People & Blogs,Howto & Style,News & Politics,Comedy,Music,Sports,Film & Animation,Gaming,Travel & Events,Autos & Vehicles,Pets & Animals,Science & Technology
Science & Technology,0.48387097,0.46218487,0.18987342,0.51515152,0.27272727,0.08571429,0.23353293,0.30434783,0.32631579,-0.17431193,0.36945813,-0.19626168,0.42857143,-0.33333333,0.00000000
Education,0.00000000,0.25000000,-0.13372093,0.27102804,0.02010050,-0.06849315,-0.07142857,0.01015228,0.09302326,-0.43382353,0.08665105,-0.33561644,0.21529175,-0.47727273,-0.02902375
Entertainment,0.16071429,0.00000000,-0.16336634,0.26332288,-0.04910714,-0.13801453,0.00423729,0.03490760,0.08382066,-0.38235294,0.10646388,-0.44171779,0.06374502,-0.47335423,-0.14914425
Nonprofits & Activism,0.12878788,0.19014085,0.00000000,0.22297297,-0.07476636,-0.06481481,-0.16751269,-0.04072398,0.10156250,-0.32183908,0.06882591,-0.49350649,0.14179104,-0.52317881,-0.10047847
People & Blogs,0.09149278,0.17492711,-0.21982759,0.00000000,-0.11198428,-0.23851204,-0.16221766,-0.06191370,0.02413793,-0.39408867,0.01736111,-0.49735450,-0.00891266,-0.51742627,-0.17184265
Howto & Style,0.26479751,0.28700906,-0.08755760,0.31395349,0.00000000,-0.12380952,-0.14009662,0.08527132,0.17770035,-0.22279793,0.15412186,-0.41317365,0.13235294,-0.38823529,-0.02608696
News & Politics,0.26394052,0.28519856,0.01000000,0.27472527,-0.03664921,0.00000000,-0.02061856,0.05263158,0.19512195,-0.36551724,0.19512195,-0.32885906,0.18181818,-0.55905512,-0.13142857
Comedy,0.24723247,0.39823009,-0.10869565,0.33333333,-0.06806283,-0.03553299,0.00000000,0.01923077,0.19047619,-0.26708075,0.27402135,-0.32467532,0.14285714,-0.42657343,0.00487805
Music,0.10863510,0.22330097,-0.20300752,0.21951220,-0.06666667,-0.18518519,-0.20300752,0.00000000,0.05325444,-0.31687243,0.03614458,-0.40969163,0.05882353,-0.60000000,-0.14285714
Sports,0.11904762,0.20086393,-0.13496933,0.23236515,-0.04519774,-0.11445783,-0.10447761,-0.01928375,0.00000000,-0.38576779,0.12322275,-0.48594378,0.07730673,-0.46245059,-0.18971061
Film & Animation,0.35087719,0.47887324,0.22916667,0.53750000,0.33928571,0.10843373,0.22916667,0.38333333,0.37815126,0.00000000,0.41732283,-0.17460317,0.43076923,-0.27586207,0.09756098
Gaming,0.03571429,0.14792899,-0.24137931,0.15127701,-0.14588859,-0.19008264,-0.09367089,-0.11340206,0.04635762,-0.41176471,0.00000000,-0.54285714,-0.00699301,-0.63018868,-0.21690141
Travel & Events,0.45864662,0.43307087,0.04000000,0.45038168,0.15294118,0.16279070,0.18181818,0.30097087,0.28000000,-0.16129032,0.28000000,0.00000000,0.33944954,-0.33333333,0.08860759
Autos & Vehicles,0.19841270,0.13859275,-0.13802817,0.15833333,-0.13483146,-0.17101449,-0.19526627,-0.05759162,0.03349282,-0.36949153,0.02650602,-0.46909091,0.00000000,-0.50746269,-0.11602210
Pets & Animals,0.51648352,0.58490566,0.24137931,0.60714286,0.40540541,0.12000000,0.30158730,0.29032258,0.51111111,-0.02325581,0.38028169,-0.10000000,0.50000000,0.00000000,0.18518519
