Genre,Education,Entertainment,Nonprofits & Activism,People & Blogs,Howto & Style,News & Politics,Comedy,Music,Sports,Film & Animation,Gaming,Travel & Events,Autos & Vehicles,Pets & Animals,Science & Technology
Science & Technology,0.52032520,0.51037344,0.22368421,0.50000000,0.34806630,0.22875817,0.22875817,0.29761905,0.29761905,-0.02608696,0.37566138,-0.06306306,0.47787611,-0.11320755,0.00000000
Education,0.00000000,0.20380952,-0.12365591,0.19923372,-0.07731959,-0.09138381,-0.07731959,-0.00480769,0.08131868,-0.40268456,0.08932462,-0.37500000,0.09719222,-0.49285714,-0.05555556
Entertainment,0.09913043,0.00000000,-0.20745921,0.21036585,-0.08595388,-0.20745921,-0.19080460,-0.01768173,0.08641975,-0.43490305,0.07001795,-0.55089820,0.05989111,-0.59876543,-0.17460317
Nonprofits & Activism,0.19852941,0.21863799,0.00000000,0.32087227,-0.06862745,-0.00925926,-0.15343915,0.02242152,0.07234043,-0.38853503,0.09166667,-0.27485380,0.04385965,-0.53521127,-0.07920792
People & Blogs,0.10600707,0.22153846,-0.08817204,0.00000000,-0.03265306,-0.15525114,-0.09051724,0.00000000,0.11072056,-0.39010989,0.07832423,-0.43342776,0.10758377,-0.46666667,-0.17674419
Howto & Style,0.21768707,0.30930931,-0.09523810,0.34659091,0.00000000,-0.06976744,-0.04072398,0.12213740,0.14498141,-0.29213483,0.18439716,-0.37724551,0.18439716,-0.55405405,0.02953586
News & Politics,0.28413284,0.27340824,0.04901961,0.31205674,0.01522843,0.00000000,-0.05434783,0.01522843,0.19834711,-0.24358974,0.11009174,-0.39568345,0.17094017,-0.41605839,-0.01570681
Comedy,0.18151815,0.17333333,-0.21568627,0.25970149,-0.07826087,-0.17535545,0.00000000,-0.03765690,0.05703422,-0.25252525,0.14776632,-0.45882353,0.05703422,-0.47619048,-0.13761468
Music,0.14364641,0.23456790,-0.15241636,0.24019608,-0.02649007,-0.21568627,-0.14814815,0.00000000,0.05487805,-0.30801688,0.12676056,-0.40909091,0.03125000,-0.64893617,-0.17424242
Sports,0.11312217,0.22222222,-0.21739130,0.23437500,-0.12000000,-0.14956012,-0.17014925,-0.06233062,0.00000000,-0.37543860,0.04390244,-0.54330709,0.10297483,-0.60655738,-0.28524590
Film & Animation,0.39062500,0.44680851,0.10344828,0.48000000,0.23529412,0.20408163,0.30973451,0.35537190,0.39062500,0.00000000,0.35000000,-0.20000000,0.32758621,-0.25806452,0.17894737
Gaming,0.11856823,0.20404040,-0.20121951,0.20081136,-0.08241758,-0.23899371,-0.08241758,0.00755668,0.04136253,-0.41726619,0.00000000,-0.50957854,0.10657596,-0.45387454,-0.20489297
Travel & Events,0.49606299,0.40186916,0.31914894,0.51515152,0.23809524,0.13513514,0.17948718,0.34020619,0.28888889,-0.10344828,0.33333333,0.00000000,0.44347826,-0.33333333,0.23809524
Autos & Vehicles,0.14672686,0.21413721,-0.22727273,0.24850895,-0.06179775,-0.15950920,-0.15243902,-0.06779661,0.12093023,-0.42105263,0.12702079,-0.38970588,0.00000000,-0.51200000,-0.06179775
Pets & Animals,0.42000000,0.38297872,0.06451613,0.52066116,0.06451613,0.15942029,0.20547945,0.06451613,0.24675325,-0.11538462,0.43689320,-0.28888889,0.35555556,0.00000000,0.23684211
