Genre,Average EI index
Science & Technology,0.10704479900515618
Education,-0.10281525059422456
Entertainment,-0.11170500606031711
Nonprofits & Activism,-0.0022408545598331226
People & Blogs,-0.014736772505467623
Howto & Style,0.08384271980786652
News & Politics,-0.024154571058946656
Comedy,0.010149417249475668
Music,-0.03396501837666749
Sports,-0.14437106030666394
Film & Animation,0.21982119656383275
Gaming,-0.14442075320862813
Travel & Events,0.289213552407503
Autos & Vehicles,-0.1164079181158584
Pets & Animals,0.16294752077478222
