Genre,Education,Entertainment,Nonprofits & Activism,People & Blogs,Howto & Style,News & Politics,Comedy,Music,Sports,Film & Animation,Gaming,Travel & Events,Autos & Vehicles,Pets & Animals,Science & Technology
Science & Technology,0.33891213,0.39694656,0.08670520,0.41263941,0.12222222,0.07058824,0.07602339,0.14130435,0.22926829,-0.22480620,0.29777778,-0.18796992,0.27853881,-0.25396825,0.00000000
Education,0.00000000,0.21904762,-0.11413043,0.21904762,0.00000000,-0.08179420,-0.09042553,-0.00490196,0.11255411,-0.35761589,0.08482143,-0.38983051,0.11827957,-0.50183150,-0.12328767
Entertainment,0.11692845,0.00000000,-0.18224299,0.21428571,-0.07203390,-0.18501171,-0.10000000,-0.00796813,0.06985294,-0.31088083,0.05947955,-0.54268293,0.02127660,-0.59119497,-0.16055046
Nonprofits & Activism,0.17689531,0.21107266,0.00000000,0.22711864,-0.08056872,-0.18750000,-0.06046512,0.03797468,0.02978723,-0.37349398,0.07692308,-0.56164384,0.17689531,-0.58333333,-0.09615385
People & Blogs,0.08291032,0.18126888,-0.19911504,0.00000000,-0.10162602,-0.19383260,-0.16059957,-0.01119403,0.09666667,-0.46486486,0.04577465,-0.45308311,0.05078809,-0.44533333,-0.17570499
Howto & Style,0.30573248,0.33536585,-0.05825243,0.33939394,0.00000000,0.01801802,-0.01869159,0.11382114,0.14173228,-0.21111111,0.28289474,-0.34567901,0.15175097,-0.44370861,-0.03809524
News & Politics,0.29368030,0.29368030,-0.09826590,0.31654676,0.08653846,0.00000000,-0.03825137,0.07766990,0.18103448,-0.31034483,0.19831224,-0.37681159,0.19491525,-0.40740741,-0.02150538
Comedy,0.13621262,0.22848665,-0.12554113,0.20245399,-0.10638298,-0.19266055,0.00000000,-0.08333333,0.09090909,-0.37566138,0.12162162,-0.58536585,0.01515152,-0.65605096,-0.17117117
Music,0.13725490,0.23573201,-0.11191336,0.26491647,-0.05841924,-0.16226415,-0.16666667,0.00000000,0.06948640,-0.41284404,0.11747851,-0.47368421,0.05521472,-0.51724138,-0.18918919
Sports,0.13968958,0.20000000,-0.23174603,0.25812620,-0.14454277,-0.17220544,-0.10857143,-0.04582210,0.00000000,-0.41090909,0.07398568,-0.46969697,0.02267003,-0.57723577,-0.21250000
Film & Animation,0.34722222,0.47777778,0.05050505,0.35616438,0.20338983,0.03092784,0.11320755,0.15315315,0.26562500,0.00000000,0.21666667,-0.18987342,0.28787879,-0.44615385,0.03092784
Gaming,0.13817330,0.21535181,-0.16088328,0.23492723,0.02902375,-0.12883436,-0.05142857,0.02902375,0.10024450,-0.43190661,0.00000000,-0.38867925,0.10895884,-0.55274262,-0.11515152
Travel & Events,0.44000000,0.36363636,-0.04477612,0.48905109,0.20454545,0.10256410,-0.01449275,0.22222222,0.33333333,-0.04477612,0.39655172,0.00000000,0.45312500,-0.37254902,0.21348315
Autos & Vehicles,0.07883817,0.08641975,-0.15324675,0.14942529,-0.20000000,-0.22314050,-0.24719101,-0.12690355,-0.04470588,-0.44625407,0.01552106,-0.40952381,0.00000000,-0.56890459,-0.22651934
Pets & Animals,0.34653465,0.32653061,-0.04761905,0.51824818,0.12000000,0.09589041,-0.10000000,0.19512195,0.22352941,-0.29411765,0.23255814,-0.34693878,0.29787234,0.00000000,0.17500000
