Genre,Average EI index
Science & Technology,0.13170362182999393
Education,-0.06377568665042942
Entertainment,-0.19257712448021738
Nonprofits & Activism,0.05564695258940887
People & Blogs,-0.11947163027611994
Howto & Style,-0.016892491834366086
News & Politics,0.08601736240303695
Comedy,0.004710953933129762
Music,-0.0321749852514351
Sports,-0.17953637152782206
Film & Animation,0.2431567195233269
Gaming,-0.11003847553645814
Travel & Events,0.2870349166754061
Autos & Vehicles,-0.1374875332750951
Pets & Animals,0.11854232372390948
