Genre,Education,Entertainment,Nonprofits & Activism,People & Blogs,Howto & Style,News & Politics,Comedy,Music,Sports,Film & Animation,Gaming,Travel & Events,Autos & Vehicles,Pets & Animals,Science & Technology
Science & Technology,0.30158730,0.29032258,0.06878307,0.36690647,0.11111111,-0.07317073,0.07853403,0.13300493,0.17757009,-0.38582677,0.20361991,-0.28467153,0.28163265,-0.39682540,0.00000000
Education,0.00000000,0.20982987,-0.06905371,0.23443223,-0.03980100,-0.13586957,-0.07455013,0.01182033,0.10492505,-0.36601307,0.05000000,-0.48754448,0.08932462,-0.52000000,-0.12064343
Entertainment,0.15942029,0.00000000,-0.22105263,0.30952381,-0.01531729,-0.08665105,-0.09433962,-0.00432900,0.12617702,-0.25405405,0.11450382,-0.43653251,0.08118812,-0.53642384,-0.18367347
Nonprofits & Activism,0.26829268,0.16996047,0.00000000,0.23357664,0.05829596,-0.10526316,0.01408451,-0.06598985,0.08296943,-0.42857143,0.23357664,-0.44827586,0.14285714,-0.41891892,-0.01941748
People & Blogs,0.14431239,0.27167630,-0.19714964,0.00000000,-0.06779661,-0.09565217,-0.14806378,-0.00598802,0.08860759,-0.36216216,0.06839187,-0.40000000,0.09838998,-0.46086957,-0.14027149
Howto & Style,0.32646048,0.39318885,0.09259259,0.38364780,0.00000000,0.09677419,0.01010101,0.16949153,0.20647773,-0.21739130,0.27675277,-0.31543624,0.27941176,-0.41007194,0.05769231
News & Politics,0.25691700,0.34948097,-0.05027933,0.37748344,0.11737089,0.00000000,-0.02173913,0.10900474,0.12962963,-0.26174497,0.11320755,-0.39259259,0.21666667,-0.45736434,-0.10588235
Comedy,0.22866894,0.25901639,-0.02262443,0.24666667,-0.06103286,-0.11330049,0.00000000,-0.01801802,0.14393939,-0.33727811,0.19285714,-0.48684211,0.16911765,-0.48684211,-0.04629630
Music,0.15363881,0.18863049,-0.26104418,0.22660099,-0.06440678,-0.14598540,-0.18045113,0.00000000,0.12777778,-0.42727273,0.08187135,-0.35930736,0.05988024,-0.57000000,-0.15441176
Sports,0.13907285,0.21052632,-0.22257053,0.21370968,-0.13372093,-0.23028391,-0.12716763,0.02010050,0.00000000,-0.36842105,0.05109489,-0.51750973,0.05569007,-0.59836066,-0.21495327
Film & Animation,0.40579710,0.54189944,0.01204819,0.48427673,0.21153846,0.14583333,0.15463918,0.21153846,0.37404580,0.00000000,0.33870968,-0.20588235,0.33870968,-0.30158730,-0.02500000
Gaming,0.04524887,0.16103380,-0.11052632,0.15600000,-0.09895833,-0.28267477,-0.11640212,-0.06565657,0.01170960,-0.43537415,0.00000000,-0.47552448,0.03432494,-0.60456274,-0.22674419
Travel & Events,0.34579439,0.44444444,0.06666667,0.51048951,0.18604651,0.07894737,0.05405405,0.35779817,0.27835052,-0.12903226,0.36363636,0.00000000,0.36936937,-0.16666667,0.16666667
Autos & Vehicles,0.12866817,0.17167382,-0.15915916,0.22800000,-0.05177112,-0.13864307,-0.09659091,-0.04324324,0.06082725,-0.39855072,0.07875895,-0.43494424,0.00000000,-0.49034749,-0.10285714
Pets & Animals,0.40425532,0.42857143,0.21126761,0.53719008,0.18840580,0.11111111,0.16417910,0.21126761,0.27272727,-0.12000000,0.30000000,-0.05660377,0.40425532,0.00000000,0.15151515
