Genre,Average EI index
Science & Technology,0.08556152745266735
Education,-0.13876566434333285
Entertainment,-0.1253925076887831
Nonprofits & Activism,-0.011343762750298433
People & Blogs,-0.13386400014423308
Howto & Style,-0.037031011912763874
News & Politics,0.06145610558921022
Comedy,-0.00982020193046477
Music,-0.053097986227882275
Sports,-0.09920052424982699
Film & Animation,0.15544963504241788
Gaming,-0.17846094951624478
Travel & Events,0.24709334942741773
Autos & Vehicles,-0.1155520982739114
Pets & Animals,0.23833007559101843
