Genre,Average EI index
Science & Technology,0.1067498361440773
Education,-0.09007429418657123
Entertainment,-0.03115524618911946
Nonprofits & Activism,-0.015781735939016574
People & Blogs,-0.10395962238083488
Howto & Style,-0.029221104181800312
News & Politics,-0.03248878629890671
Comedy,-0.028895956342857403
Music,-0.02384440309831748
Sports,-0.13767608909283954
Film & Animation,0.31242362967848597
Gaming,-0.15477175299677187
Travel & Events,0.19100614804588525
Autos & Vehicles,-0.1560198104786311
Pets & Animals,0.06647687422407797
